artifact,artifact_sha256,backtest_days,backtest_end,backtest_start,closed_trade_max_drawdown_pct,draws,exchange,fee,final_balance,losses,market_change,max_drawdown_account,max_open_trades,pairlist,profit_factor,profit_factor_state,profit_pct,profit_total,profit_total_abs,raw_sensitive_archive,result_member,result_role,run_id,stake_amount,stake_currency,starting_balance,strategy,strategy_name,timeframe,timerange,total_trades,trades_per_day,trades_sha256,trading_mode,truth_status,wallet_max_drawdown_pct,winrate,winrate_pct,wins
results/champion_ablation/backtest-result-2026-08-17_17-45-29.zip,0a797f511126e5d328ea675ddfd3c2f1a3ca91e437fe58082630421bab11017a,120,2026-05-01 00:00:00,2026-01-01 00:00:00,0.8626022268203504,0,binance,0.001,62.25317683,2,-0.1276177348828778,0.008626022268203503,1,"[""BTC/USDC""]",28.639493697257777,FINITE,24.50635366,0.2450635366,12.25317683,False,backtest-result-2026-08-17_17-45-29.json,LOCAL_RESEARCH_RUN,champion_ablation:ED8NoCustomExitAblation,unlimited,USDC,50.0,ED8NoCustomExitAblation,ED8NoCustomExitAblation,1m,20260101-20260501,20,0.17,eb723a2f8c023fbab2b6a6ac6d7801449b57280eee113c8ae549eed941c64714,spot,VERIFIZIERT,2.2586239093449305,0.9,90.0,18
results/champion_ablation/backtest-result-2026-08-17_17-45-29.zip,0a797f511126e5d328ea675ddfd3c2f1a3ca91e437fe58082630421bab11017a,120,2026-05-01 00:00:00,2026-01-01 00:00:00,0.0,0,binance,0.001,52.06020046,0,-0.1276177348828778,0.0,1,"[""BTC/USDC""]",0.0,UNDEFINED_NO_LOSSES,4.12040092,0.041204009199999996,2.06020046,False,backtest-result-2026-08-17_17-45-29.json,LOCAL_RESEARCH_RUN,champion_ablation:ED8OnlyE001EntryAblation,unlimited,USDC,50.0,ED8OnlyE001EntryAblation,ED8OnlyE001EntryAblation,1m,20260101-20260501,5,0.04,531142e8c16590bc8279dbfb3f7664b2bfedc7ae35fb5de7f1f535b29eb38cb4,spot,VERIFIZIERT,1.535255238926566,1.0,100.0,5
results/champion_ablation/backtest-result-2026-08-17_17-45-29.zip,0a797f511126e5d328ea675ddfd3c2f1a3ca91e437fe58082630421bab11017a,120,2026-05-01 00:00:00,2026-01-01 00:00:00,0.8626022268203504,0,binance,0.001,62.25317683,2,-0.1276177348828778,0.008626022268203503,1,"[""BTC/USDC""]",28.639493697257777,FINITE,24.50635366,0.2450635366,12.25317683,False,backtest-result-2026-08-17_17-45-29.json,LOCAL_RESEARCH_RUN,champion_ablation:ED8ROIOnlyExitAblation,unlimited,USDC,50.0,ED8ROIOnlyExitAblation,ED8ROIOnlyExitAblation,1m,20260101-20260501,20,0.17,eb723a2f8c023fbab2b6a6ac6d7801449b57280eee113c8ae549eed941c64714,spot,VERIFIZIERT,2.2586239093449305,0.9,90.0,18
results/champion_ablation/backtest-result-2026-08-17_17-45-29.zip,0a797f511126e5d328ea675ddfd3c2f1a3ca91e437fe58082630421bab11017a,120,2026-05-01 00:00:00,2026-01-01 00:00:00,0.0,0,binance,0.001,61.874727639999996,0,-0.1276177348828778,0.0,1,"[""BTC/USDC""]",0.0,UNDEFINED_NO_LOSSES,23.749455280000003,0.23749455280000004,11.874727640000001,False,backtest-result-2026-08-17_17-45-29.json,LOCAL_RESEARCH_RUN,champion_ablation:ED8WithoutE001EntryAblation,unlimited,USDC,50.0,ED8WithoutE001EntryAblation,ED8WithoutE001EntryAblation,1m,20260101-20260501,16,0.13,ad6a8a8a084809b8aa864bc3043f5366c9568e899af846a2c94278918a93ed4f,spot,VERIFIZIERT,1.9123205009957571,1.0,100.0,16
results/champion_common_ablation/backtest-result-2026-08-17_18-10-06.zip,3790429014bad2271f1502c5396353281805bc29814f9090ef921d5796d05cde,120,2026-05-01 00:00:00,2026-01-01 00:00:00,1.7997263890901603,0,binance,0.001,1178.33111814,2,-0.1276177348828778,0.017997263890901602,1,"[""BTC/USDC""]",5.988896306080397,FINITE,17.833111813999995,0.17833111813999997,178.33111813999997,False,backtest-result-2026-08-17_18-10-06.json,LOCAL_RESEARCH_RUN,champion_common_ablation:ED8Delay1,unlimited,USDC,1000.0,ED8Delay1,ED8Delay1,1m,20260101-20260501,20,0.17,36974e056b016b105ff2c331d9f354aed16ffeeba17d186eb7b88923e40736eb,spot,VERIFIZIERT,2.648928463776737,0.9,90.0,18
results/champion_common_ablation/backtest-result-2026-08-17_18-10-06.zip,3790429014bad2271f1502c5396353281805bc29814f9090ef921d5796d05cde,120,2026-05-01 00:00:00,2026-01-01 00:00:00,1.8926231438500734,0,binance,0.001,1193.9967978,2,-0.1276177348828778,0.018926231438500734,1,"[""BTC/USDC""]",6.300430436782352,FINITE,19.39967978,0.1939967978,193.9967978,False,backtest-result-2026-08-17_18-10-06.json,LOCAL_RESEARCH_RUN,champion_common_ablation:ED8Delay2,unlimited,USDC,1000.0,ED8Delay2,ED8Delay2,1m,20260101-20260501,20,0.17,deb4670a563d7c4b606601e1aa67d139f47747c098a3e30a1ac8fd555c3e4165,spot,VERIFIZIERT,2.5157490079914138,0.9,90.0,18
results/champion_common_ablation/backtest-result-2026-08-17_18-10-06.zip,3790429014bad2271f1502c5396353281805bc29814f9090ef921d5796d05cde,120,2026-05-01 00:00:00,2026-01-01 00:00:00,0.8630709586993206,0,binance,0.001,1245.26743557,2,-0.1276177348828778,0.008630709586993206,1,"[""BTC/USDC""]",28.646644123112143,FINITE,24.526743557000003,0.24526743557000003,245.26743557000003,False,backtest-result-2026-08-17_18-10-06.json,LOCAL_RESEARCH_RUN,champion_common_ablation:ED8NoCustomExitAblation,unlimited,USDC,1000.0,ED8NoCustomExitAblation,ED8NoCustomExitAblation,1m,20260101-20260501,20,0.17,4897b768d942f14cb158173a62c9377e65981f28dc427a7c30b34c7ae4a543f2,spot,VERIFIZIERT,2.260272816389587,0.9,90.0,18
results/champion_common_ablation/backtest-result-2026-08-17_18-10-06.zip,3790429014bad2271f1502c5396353281805bc29814f9090ef921d5796d05cde,120,2026-05-01 00:00:00,2026-01-01 00:00:00,0.0,0,binance,0.001,1041.23813511,0,-0.1276177348828778,0.0,1,"[""BTC/USDC""]",0.0,UNDEFINED_NO_LOSSES,4.123813511,0.04123813511,41.238135109999995,False,backtest-result-2026-08-17_18-10-06.json,LOCAL_RESEARCH_RUN,champion_common_ablation:ED8OnlyE001EntryAblation,unlimited,USDC,1000.0,ED8OnlyE001EntryAblation,ED8OnlyE001EntryAblation,1m,20260101-20260501,5,0.04,e0828b032be39c183d5c1e45ff0c7d59290f348c1a71bb219cdb776cedb75511,spot,VERIFIZIERT,1.5360165162922732,1.0,100.0,5
results/champion_common_ablation/backtest-result-2026-08-17_18-10-06.zip,3790429014bad2271f1502c5396353281805bc29814f9090ef921d5796d05cde,120,2026-05-01 00:00:00,2026-01-01 00:00:00,0.8630709586993206,0,binance,0.001,1245.26743557,2,-0.1276177348828778,0.008630709586993206,1,"[""BTC/USDC""]",28.646644123112143,FINITE,24.526743557000003,0.24526743557000003,245.26743557000003,False,backtest-result-2026-08-17_18-10-06.json,LOCAL_RESEARCH_RUN,champion_common_ablation:ED8ROIOnlyExitAblation,unlimited,USDC,1000.0,ED8ROIOnlyExitAblation,ED8ROIOnlyExitAblation,1m,20260101-20260501,20,0.17,4897b768d942f14cb158173a62c9377e65981f28dc427a7c30b34c7ae4a543f2,spot,VERIFIZIERT,2.260272816389587,0.9,90.0,18
results/champion_common_ablation/backtest-result-2026-08-17_18-10-06.zip,3790429014bad2271f1502c5396353281805bc29814f9090ef921d5796d05cde,120,2026-05-01 00:00:00,2026-01-01 00:00:00,0.0,0,binance,0.001,1237.65074707,0,-0.1276177348828778,0.0,1,"[""BTC/USDC""]",0.0,UNDEFINED_NO_LOSSES,23.765074706999997,0.23765074706999997,237.65074706999997,False,backtest-result-2026-08-17_18-10-06.json,LOCAL_RESEARCH_RUN,champion_common_ablation:ED8WithoutE001EntryAblation,unlimited,USDC,1000.0,ED8WithoutE001EntryAblation,ED8WithoutE001EntryAblation,1m,20260101-20260501,16,0.13,27b90bf5e0c6d32ddc29504eb27fab8a9aa604bd9f5b22dd57c25763f3b34f95,spot,VERIFIZIERT,1.9144047794478851,1.0,100.0,16
results/champion_common_fee_002/backtest-result-2026-08-17_18-08-24.zip,4a071f31f5be048e183c68f61537fb7940db0477aef1232c86678f2cf04caa0d,120,2026-05-01 00:00:00,2026-01-01 00:00:00,1.8384341770123547,0,binance,0.002,1139.7330210100001,4,-0.1276177348828778,0.018384341770123547,1,"[""BTC/USDC""]",3.689092035911282,FINITE,13.973302101000002,0.13973302101,139.73302101000002,False,backtest-result-2026-08-17_18-08-24.json,LOCAL_RESEARCH_RUN,champion_common_fee_002:ED8,unlimited,USDC,1000.0,ED8,ED8,1m,20260101-20260501,19,0.16,825c4f7064f6b2cb182a60cec646da2a6c204f1c5915356552d0c812eec4edb5,spot,VERIFIZIERT,2.772726700443247,0.7894736842105263,78.94736842105263,15
results/champion_common_fee_003/backtest-result-2026-08-17_18-08-24.zip,c71cfdf5886f059b34b5a0e74af801e5c945b77d1609cd9375afa848af781a51,120,2026-05-01 00:00:00,2026-01-01 00:00:00,2.8913212053800352,0,binance,0.003,1094.3754906,4,-0.1276177348828778,0.028913212053800354,1,"[""BTC/USDC""]",2.5084445394330763,FINITE,9.437549059999998,0.09437549059999999,94.37549059999999,False,backtest-result-2026-08-17_18-08-24.json,LOCAL_RESEARCH_RUN,champion_common_fee_003:ED8,unlimited,USDC,1000.0,ED8,ED8,1m,20260101-20260501,19,0.16,32d9383fcdfb4cebd347cf7bad55b971ace326416d18c3673cb56b566b167697,spot,VERIFIZIERT,4.259990652156732,0.7894736842105263,78.94736842105263,15
results/champion_common_full/backtest-result-2026-08-17_17-39-56.zip,0b062e98d2ae2066e91ee7e2f0fe68dd7371e45da46da2d5aae67435ed62e109,120,2026-05-01 00:00:00,2026-01-01 00:00:00,0.0,0,binance,0.001,1262.4181329,0,-0.1276177348828778,0.0,1,"[""BTC/USDC""]",0.0,UNDEFINED_NO_LOSSES,26.24181329,0.2624181329,262.4181329,False,backtest-result-2026-08-17_17-39-56.json,LOCAL_RESEARCH_RUN,champion_common_full:ED8,unlimited,USDC,1000.0,ED8,ED8,1m,20260101-20260501,20,0.17,244e6e82817a75758c77c85025b32e13abb756eb3a56257254388b3355dfc488,spot,VERIFIZIERT,1.914468054293001,1.0,100.0,20
results/champion_determinism_repeat/backtest-result-2026-08-17_17-42-28.zip,11b5c53ad95ae44de386c372468392a29c3d84923f7505929031cf41aca63abf,120,2026-05-01 00:00:00,2026-01-01 00:00:00,0.0,0,binance,0.001,63.10967119,0,-0.1276177348828778,0.0,1,"[""BTC/USDC""]",0.0,UNDEFINED_NO_LOSSES,26.21934238,0.2621934238,13.10967119,False,backtest-result-2026-08-17_17-42-28.json,LOCAL_RESEARCH_RUN,champion_determinism_repeat:ED8,unlimited,USDC,50.0,ED8,ED8,1m,20260101-20260501,20,0.17,700a36907f0258b3620a6ce887e6191de1c83528e98234c5c6c65d6f9c1a07a5,spot,VERIFIZIERT,1.9133763624023865,1.0,100.0,20
